condition,n,corrected_gap_mean,corrected_gap_ci_lo,corrected_gap_ci_hi,entropy_mean,entropy_ci_lo,entropy_ci_hi
baseline,20,0.47309071754698684,0.3160085549072101,0.651651184347343,2.9829951731575437,2.88315003272906,3.076132585200112
rotation_only,20,0.4947498463737694,0.3572946773380185,0.6249025249155019,2.9735688919019756,2.836078152557687,3.102073908986956
link_only,20,0.5051262961324882,0.3624250065755967,0.6766550002177902,2.786130350134903,2.5994750887709093,2.94941783806845
shift_only,20,0.6043039608534628,0.4322806225048787,0.8053772957591606,3.117030776277171,3.043370781912219,3.1906340061664715
uchikoshi_only,20,0.4956753626490468,0.2870274455077087,0.7540973646236803,3.3444740067767986,3.2794373484359327,3.41378395292661
sarikirai_only,20,0.46134292878790795,0.33314355444261473,0.5900802894020101,3.1957184134677568,3.09694419630898,3.2911001039142813
full_shikimoku,20,0.3766470232292348,0.25590944853523895,0.5079894153056826,3.290203470992205,3.2216326849733847,3.3600600623697665
arbitrary_control,20,0.554323899404664,0.4118139452736344,0.7078344315302224,3.144310559981523,3.0385817661249988,3.2366689737838774
