condition,n_sequences,gravity_gap_mean,gravity_gap_ci_lo,gravity_gap_ci_hi,rejection_rate_mean,unresolved_violation_rate_mean
baseline,20,0.47309071754698684,0.3160085549072101,0.651651184347343,0.0,0.0
rotation_only,20,0.4947498463737694,0.3572946773380185,0.6249025249155019,0.0,0.0
link_only,20,0.5051262961324882,0.3624250065755967,0.6766550002177902,0.034375,0.0
shift_only,20,0.6043039608534628,0.4322806225048787,0.8053772957591606,0.11875,0.003125
uchikoshi_only,20,0.4956753626490468,0.2870274455077087,0.7540973646236803,1.540625,0.125
sarikirai_only,20,0.46134292878790795,0.33314355444261473,0.5900802894020101,2.515625,0.290625
full_shikimoku,20,0.3766470232292348,0.25590944853523895,0.5079894153056826,6.4125,0.496875
arbitrary_control,20,0.554323899404664,0.4118139452736344,0.7078344315302224,0.80625,0.0
